mangaid,plateifu,objra,objdec,z
1-76747,10840-3701,133.1900697,3.597640172,0.027031545
1-76813,10840-3703,134.5220818,3.756492401,0.026876222
1-34149,12075-12703,20.85493648,0.755284336,0.017370166
1-179705,7965-1901,318.1763757,0.769497555,0.0467404
1-38173,8083-3702,49.97322565,0.391442192,0.0238441
1-251788,8335-6101,215.2292407,40.12102739,0.0175421
1-247882,8551-9102,235.6693623,45.43208579,0.0376135
1-90901,8553-12705,235.4638824,55.46785355,0.048214
1-633729,8600-1901,242.5852246,43.00964346,0.0252127
1-279532,8946-6102,170.8082726,46.99780245,0.0247756
1-295155,9049-3704,247.5306506,23.92595754,0.0148569
1-71763,9181-9101,118.9382788,37.82156342,0.0409687
1-383698,9495-3703,123.7616003,21.27159952,0.0440236
1-217931,9503-1901,119.9540223,24.30301709,0.019244
1-375609,9889-1901,234.8456891,26.4143568,0.0412834
