objid,ra,dec,z_1,density,min_density,max_density,mangaid,plateifu,objra,objdec,z_2,Separation
5.88E+17,118.93815,37.82163,0.041,-0.0854,-0.0854,-0.0854,1-71763,9181-9101,118.9382788,37.82156342,0.0409687,0.437727613
5.88E+17,133.19005,3.59764,0.0271,-0.7964,-0.8347,-0.7582,1-76747,10840-3701,133.1900697,3.597640172,0.027031545,0.070782947
5.88E+17,134.52208,3.75647,0.0269,-0.6501,-0.6501,-0.6501,1-76813,10840-3703,134.5220818,3.756492401,0.026876222,0.080902413
5.88E+17,49.97321,0.39143,0.0239,-0.0651,-0.0651,-0.0651,1-38173,8083-3702,49.97322565,0.391442192,0.0238441,0.071417679
5.88E+17,20.85491,0.75529,0.0174,-0.4522,-0.6281,0.5243,1-34149,12075-12703,20.85493648,0.755284336,0.017370166,0.097476238
5.88E+17,242.5851,43.00975,0.0252,-0.8043,-0.9378,-0.6708,1-633729,8600-1901,242.5852246,43.00964346,0.0252127,0.504670962
5.88E+17,235.66929,45.43209,0.0376,0.2558,0.2558,0.2558,1-247882,8551-9102,235.6693623,45.43208579,0.0376135,0.183280301
5.88E+17,119.95401,24.30301,0.0193,-0.1785,-0.7256,0.3685,1-217931,9503-1901,119.9540223,24.30301709,0.019244,0.047750179
5.88E+17,247.53078,23.9258,0.0148,-1.5538,-1.5967,-1.5109,1-295155,9049-3704,247.5306506,23.92595754,0.0148569,0.709201757
5.88E+17,234.84566,26.41437,0.0413,-1.2793,-1.4806,-1.078,1-375609,9889-1901,234.8456891,26.4143568,0.0412834,0.105170915
5.88E+17,123.7616,21.27159,0.044,-0.8649,-0.8649,-0.8649,1-383698,9495-3703,123.7616003,21.27159952,0.0440236,0.034286774
5.88E+17,215.22922,40.12103,0.0176,0.5795,0.5521,0.6069,1-251788,8335-6101,215.2292407,40.12102739,0.0175421,0.057753768
5.88E+17,170.80828,46.99777,0.0248,-0.2762,-0.3686,-0.1837,1-279532,8946-6102,170.8082726,46.99780245,0.0247756,0.118224498
5.88E+17,235.4638,55.46776,0.0482,-0.1532,-0.3176,0.0112,1-90901,8553-12705,235.4638824,55.46785355,0.048214,0.376426933
